Search Type,Search Criteria,Search Date,Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Topic,integrated human-earth system model,6-Sep-17,The Integrated Use of DMSP-OLS Nighttime Light and MODIS Data for Monitoring Large-Scale Impervious Surface Dynamics: A Case Study in the Yangtze River Delta,"Shao, Zhenfeng; Liu, Chong",,,,REMOTE SENSING,OCT 2014,2014,6,10,,,,9359,9378,,10.3390/rs6109359,,,20,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,7,0
Topic,integrated human-earth system model,6-Sep-17,Developing an Integrated History and future of People on Earth (IHOPE),"Costanza, Robert; van der Leeuw, Sander; Hibbard, Kathy; Aulenbach, Steve; Brewer, Simon; Burek, Michael; Cornell, Sarah; Crumley, Carole; Dearing, John; Folke, Carl; Graumlich, Lisa; Hegmon, Michelle; Heckbert, Scott; Jackson, Stephen T.; Kubiszewski, Ida; Scarborough, Vernon; Sinclair, Paul; Sorlin, Sverker; Steffen, Will",,,,CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,MAR 2012,2012,4,1,,,,106,114,,10.1016/j.cosust.2012.01.010,,,19,3.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,10,5,0,0
Topic,integrated human-earth system model,6-Sep-17,HESFIRE: a global fire model to explore the role of anthropogenic and weather drivers,"Le Page, Y.; Morton, D.; Bond-Lamberty, B.; Pereira, J. M. C.; Hurtt, G.",,,,BIOGEOSCIENCES,2015,2015,12,3,,,,887,903,,10.5194/bg-12-887-2015,,,7,2.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0
Topic,integrated human-earth system model,6-Sep-17,The integrated Earth system model version 1: formulation and functionality,"Collins, W. D.; Craig, A. P.; Truesdale, J. E.; Di Vittorio, A. V.; Jones, A. D.; Bond-Lamberty, B.; Calvin, K. V.; Edmonds, J. A.; Kim, S. H.; Thomson, A. M.; Patel, P.; Zhou, Y.; Mao, J.; Shi, X.; Thornton, P. E.; Chini, L. P.; Hurtt, G. C.",,,,GEOSCIENTIFIC MODEL DEVELOPMENT,2015,2015,8,7,,,,2203,2219,,10.5194/gmd-8-2203-2015,,,5,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0
Topic,integrated human-earth system model,6-Sep-17,Global warming projections using the human-earth system model BNU-HESM1.0,"Yang, Shili; Dong, Wenjie; Chou, Jieming; Feng, Jinming; Wei, Zhigang; Guo, Yan; Wen, Xiaohang; Wei, Ting; Tian, Di; Zhu, Xian; Yang, Zhiyong",,,,SCIENCE BULLETIN,DEC 2016,2016,61,23,,,,1833,1838,,10.1007/s11434-016-1176-x,,,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Topic,integrated human-earth system model,6-Sep-17,A brief introduction to BNU-HESM1.0 and its earth surface temperature simulations,Yang Shili; Dong Wenjie; Chou Jieming; Feng Jinming; Yan Xiaodong; Wei Zhigang; Yuan Wenping; Guo Yan; Tang Yanli; Hu Jiacong,,,,ADVANCES IN ATMOSPHERIC SCIENCES,DEC 2015,2015,32,12,,,,1683,1688,,10.1007/s00376-015-5050-6,,,1,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Topic,integrated human-earth system model,6-Sep-17,Economic and environmental impacts of greenhouse gas mitigation: An integrated assessment,"Newth, D.; Gunasekera, D.; Hanslow, K.; Finnigan, J. J.",,,"Chan, F; Marinova, D; Anderssen, RS",19TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2011),2011,2011,,,,,,2761,2767,,,19th International Congress on Modelling and Simulation (MODSIM),"DEC 12-16, 2011",1,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Topic,integrated human-earth system model,6-Sep-17,A review of and perspectives on global change modeling for Northern Eurasia,"Monier, Erwan; Kicklighter, David W.; Sokolov, Andrei P.; Zhuang, Qianlai; Sokolik, Irina N.; Lawford, Richard; Kappas, Martin; Paltsev, Sergey V.; Groisman, Pavel Ya",,,,ENVIRONMENTAL RESEARCH LETTERS,AUG 2017,2017,12,8,,,,,,83001,10.1088/1748-9326/aa7aae,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Topic,integrated human-earth system model,6-Sep-17,Sensitivity of future US Water shortages to socioeconomic and climate drivers: a case study in Georgia using an integrated human-earth system modeling framework,"Scott, Michael J.; Daly, Don S.; Hejazi, Mohamad I.; Kyle, G. Page; Liu, Lu; McJeon, Haewon C.; Mundra, Anupriya; Patel, Pralit L.; Rice, Jennie S.; Voisin, Nathalie",,,,CLIMATIC CHANGE,MAY 2016,2016,136,2,,,,233,246,,10.1007/s10584-016-1602-8,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Topic,human-earth system model,6-Sep-17,Terrestrial Vegetation in the Coupled Human-Earth System: Contributions of Remote Sensing,"DeFries, Ruth",,,,ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES,2008,2008,33,,,,,369,390,,10.1146/annurev.environ.33.020107.113339,,,42,4.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,8,5,7,2,5,2,0
