Search Method,Title,Authors (abbr),Authors,Source Title,Publication Year,Volume,Issue,DOI,Unique Identifier,Classification,Spatial,Type
Web of Science,The Integrated Use of DMSP-OLS Nighttime Light and MODIS Data for Monitoring Large-Scale Impervious Surface Dynamics: A Case Study in the Yangtze River Delta,Shao and Liu,"Shao, Zhenfeng; Liu, Chong",REMOTE SENSING,2014,6,10,10.3390/rs6109359,1,Exclude,,
Web of Science,Developing an Integrated History and future of People on Earth (IHOPE),Costanza et al.,"Costanza, Robert; van der Leeuw, Sander; Hibbard, Kathy; Aulenbach, Steve; Brewer, Simon; Burek, Michael; Cornell, Sarah; Crumley, Carole; Dearing, John; Folke, Carl; Graumlich, Lisa; Hegmon, Michelle; Heckbert, Scott; Jackson, Stephen T.; Kubiszewski, Ida; Scarborough, Vernon; Sinclair, Paul; Sorlin, Sverker; Steffen, Will",CURRENT OPINION IN ENVIRONMENTAL SUSTAINABILITY,2012,4,1,10.1016/j.cosust.2012.01.010,2,Exclude,,Not a model
Web of Science,HESFIRE: a global fire model to explore the role of anthropogenic and weather drivers,Le Page et al.,"Le Page, Y.; Morton, D.; Bond-Lamberty, B.; Pereira, J. M. C.; Hurtt, G.",BIOGEOSCIENCES,2015,12,3,10.5194/bg-12-887-2015,3,Exclude,,"No IAM, No ESM"
Identified as critical by BBL & KVC,The integrated Earth system model version 1: formulation and functionality,Collins et al.,"Collins, W. D.; Craig, A. P.; Truesdale, J. E.; Di Vittorio, A. V.; Jones, A. D.; Bond-Lamberty, B.; Calvin, K. V.; Edmonds, J. A.; Kim, S. H.; Thomson, A. M.; Patel, P.; Zhou, Y.; Mao, J.; Shi, X.; Thornton, P. E.; Chini, L. P.; Hurtt, G. C.",GEOSCIENTIFIC MODEL DEVELOPMENT,2015,8,7,10.5194/gmd-8-2203-2015,4,Include,Global,Integrated Model
Web of Science,Global warming projections using the human-earth system model BNU-HESM1.0,Yang et al.,"Yang, Shili; Dong, Wenjie; Chou, Jieming; Feng, Jinming; Wei, Zhigang; Guo, Yan; Wen, Xiaohang; Wei, Ting; Tian, Di; Zhu, Xian; Yang, Zhiyong",SCIENCE BULLETIN,2016,61,23,10.1007/s11434-016-1176-x,5,Include,Global,Integrated Model
Web of Science,A brief introduction to BNU-HESM1.0 and its earth surface temperature simulations,Yang et al.,Yang Shili; Dong Wenjie; Chou Jieming; Feng Jinming; Yan Xiaodong; Wei Zhigang; Yuan Wenping; Guo Yan; Tang Yanli; Hu Jiacong,ADVANCES IN ATMOSPHERIC SCIENCES,2015,32,12,10.1007/s00376-015-5050-6,6,Include,Global,Integrated Model
Web of Science,Economic and environmental impacts of greenhouse gas mitigation: An integrated assessment,Newth et al.,"Newth, D.; Gunasekera, D.; Hanslow, K.; Finnigan, J. J.",19TH INTERNATIONAL CONGRESS ON MODELLING AND SIMULATION (MODSIM2011),2011,NA,NA,NA,7,Exclude,,Gray literature
Web of Science,A review of and perspectives on global change modeling for Northern Eurasia,Monier et al.,"Monier, Erwan; Kicklighter, David W.; Sokolov, Andrei P.; Zhuang, Qianlai; Sokolik, Irina N.; Lawford, Richard; Kappas, Martin; Paltsev, Sergey V.; Groisman, Pavel Ya",ENVIRONMENTAL RESEARCH LETTERS,2017,12,8,10.1088/1748-9326/aa7aae,8,Follow Up,,Review
Web of Science,Sensitivity of future US Water shortages to socioeconomic and climate drivers: a case study in Georgia using an integrated human-earth system modeling framework,Scott et al.,"Scott, Michael J.; Daly, Don S.; Hejazi, Mohamad I.; Kyle, G. Page; Liu, Lu; McJeon, Haewon C.; Mundra, Anupriya; Patel, Pralit L.; Rice, Jennie S.; Voisin, Nathalie",CLIMATIC CHANGE,2016,136,2,10.1007/s10584-016-1602-8,9,Include,Regional-USA,Integrated Model
Web of Science,Terrestrial Vegetation in the Coupled Human-Earth System: Contributions of Remote Sensing,DeFries,"DeFries, Ruth",ANNUAL REVIEW OF ENVIRONMENT AND RESOURCES,2008,33,NA,10.1146/annurev.environ.33.020107.113339,10,Exclude,,No modeling
Web of Science,Can radiative forcing be limited to 2.6 Wm(-2) without negative emissions from bioenergy AND CO2 capture and storage?,Edmonds et al.,"Edmonds, James; Luckow, Patrick; Calvin, Katherine; Wise, Marshall; Dooley, Jim; Kyle, Page; Kim, Son H.; Patel, Pralit; Clarke, Leon",CLIMATIC CHANGE,2013,118,1,10.1007/s10584-012-0678-z,11,Exclude,,IAM-only study
Web of Science,"Simple models, powerful ideas: Towards effective integrative practice",Newell,"Newell, Barry",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2012,22,3,10.1016/j.gloenvcha.2012.03.006,12,Follow Up,,Commentary
Web of Science,A neural network based general reservoir operation scheme,Ehsani et al.,"Ehsani, Nima; Fekete, Balazs M.; Voeroesmarty, Charles J.; Tessler, Zachary D.",STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,2016,30,4,10.1007/s00477-015-1147-9,13,Exclude,,No human or Earth system modeling
Web of Science,Using a Coupled Human-Natural System to Assess the Vulnerability of the Karst Landform Region in China,He et al.,"He, Xiang; Lin, Zhenshan; Xiong, Kangning",SUSTAINABILITY,2015,7,9,10.3390/su70912910,14,Exclude,,No modeling
Web of Science,Study on the Control Mechanism of Ecological Costs Based on the Urban Economic Space Evolution,Wang et al.,Wang Qi; Shen Ying; Guo Xiao-li,"2011 INTERNATIONAL CONFERENCE ON MANAGEMENT SCIENCE AND ENGINEERING - 18TH ANNUAL CONFERENCE PROCEEDINGS, VOLS I AND II",2011,NA,NA,NA,15,Follow Up,,Commentary
Web of Science,Study on the Control Mechanism of Ecological Costs based on the Urban Economic Space Evolution,Wang et al.,Wang Qi; Shen Ying; Guo Xiao-li,URBANIZATION AND LAND RESERVATION RESEARCH,2011,NA,NA,NA,16,Exclude,,Duplicate
Web of Science,A simple object-oriented and open-source model for scientific and policy analyses of the global climate system - Hector v1.0,Hartin et al.,"Hartin, C. A.; Patel, P.; Schwarber, A.; Link, R. P.; Bond-Lamberty, B. P.",GEOSCIENTIFIC MODEL DEVELOPMENT,2015,8,4,10.5194/gmd-8-939-2015,17,Exclude,,Component Model
Web of Science,Biospheric feedback effects in a synchronously coupled model of human and Earth systems,Thornton et al.,"Thornton, Peter E.; Calvin, Katherine; Jones, Andrew D.; Di Vittorio, Alan V.; Bond-Lamberty, Ben; Chini, Louise; Shi, Xiaoying; Mao, Jiafu; Collins, William D.; Edmonds, Jae; Thomson, Allison; Truesdale, John; Craig, Anthony; Branstetter, Marcia L.; Hurtt, George",NATURE CLIMATE CHANGE,2017,7,7,10.1038/NCLIMATE3310,18,Include,Global,Integrated Model
Web of Science,Current challenges of implementing anthropogenic land-use and land-cover change in models contributing to climate change assessments,Prestele et al.,"Prestele, Reinhard; Arneth, Almut; Bondeau, Alberte; de Noblet-Ducoudre, Nathalie; Pugh, Thomas A. M.; Sitch, Stephen; Stehfest, Elke; Verburg, Peter H.",EARTH SYSTEM DYNAMICS,2017,8,2,10.5194/esd-8-369-2017,19,Follow Up,,Commentary
Web of Science,Downscaling Global Emissions and Its Implications Derived from Climate Model Experiments,Fujimori et al.,"Fujimori, Shinichiro; Abe, Manabu; Kinoshita, Tsuguki; Hasegawa, Tomoko; Kawase, Hiroaki; Kushida, Kazuhide; Masui, Toshihiko; Oka, Kazutaka; Shiogama, Hideo; Takahashi, Kiyoshi; Tatebe, Hiroaki; Yoshikawa, Minoru",PLOS ONE,2017,12,1,10.1371/journal.pone.0169733,20,Follow Up,,Linking tool
Web of Science,Spatial modeling of agricultural land use change at global scale,Meiyappan et al.,"Meiyappan, Prasanth; Dalton, Michael; O'Neill, Brian C.; Jain, Atul K.",ECOLOGICAL MODELLING,2014,291,NA,10.1016/j.ecolmodel.2014.07.027,21,Follow Up,,Linking tool
Web of Science,Methods and approaches to modelling the Anthropocene,Verburg et al.,"Verburg, Peter H.; Dearing, John A.; Dyke, James G.; van der Leeuw, Sander; Seitzinger, Sybil; Steffen, Will; Syvitski, James",GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,2016,39,NA,10.1016/j.gloenvcha.2015.08.007,22,Follow Up,,Review
Web of Science,Scenarios for vulnerability: opportunities and constraints in the context of climate change and disaster risk,Birkmann et al.,"Birkmann, Joern; Cutter, Susan L.; Rothman, Dale S.; Welle, Torsten; Garschagen, Matthias; van Ruijven, Bas; O'Neill, Brian; Preston, Benjamin L.; Kienberger, Stefan; Cardona, Omar D.; Siagian, Tiodora; Hidayati, Deny; Setiadi, Neysa; Binder, Claudia R.; Hughes, Barry; Pulwarty, Roger",CLIMATIC CHANGE,2015,133,1,10.1007/s10584-013-0913-2,23,Exclude,,
Web of Science,Global energy-climate scenarios and models: a review,Krey,"Krey, Volker",WILEY INTERDISCIPLINARY REVIEWS-ENERGY AND ENVIRONMENT,2014,3,4,10.1002/wene.98,24,Follow Up,,Review
Web of Science,On linking an Earth system model to the equilibrium carbon representation of an economically optimizing land use model,Bond-Lamberty et al.,"Bond-Lamberty, B.; Calvin, K.; Jones, A. D.; Mao, J.; Patel, P.; Shi, X. Y.; Thomson, A.; Thornton, P.; Zhou, Y.",GEOSCIENTIFIC MODEL DEVELOPMENT,2014,7,6,10.5194/gmd-7-2545-2014,25,Follow Up,Global,Linking tool
Web of Science,Challenges to adaptation: a fundamental concept for the shared socio-economic pathways and beyond,Rothman et al.,"Rothman, Dale S.; Romero-Lankao, Patricia; Schweizer, Vanessa J.; Bee, Beth A.",CLIMATIC CHANGE,2014,122,3,10.1007/s10584-013-0907-0,26,Exclude,,No Earth system model
Web of Science,Modeling the Impacts of Future Climate Change on Irrigation over China: Sensitivity to Adjusted Projections,Leng and Tang,"Leng, Guoyong; Tang, Qiuhong",JOURNAL OF HYDROMETEOROLOGY,2014,15,5,10.1175/JHM-D-13-0182.1,27,Include,Regional-China,Integrated Model
Web of Science,The use of the land-sea warming contrast under climate change to improve impact metrics,Joshi et al.,"Joshi, Manoj M.; Turner, Andrew G.; Hope, Chris",CLIMATIC CHANGE,2013,117,4,10.1007/s10584-013-0715-6,28,Follow Up,,Linking tool
Web of Science,"Drought in Northeast Brazil-past, present, and future",Marengo et al.,"Marengo, Jose A.; Torres, Roger Rodrigues; Alves, Lincoln Muniz",THEORETICAL AND APPLIED CLIMATOLOGY,2017,129,4-Mar,10.1007/s00704-016-1840-8,29,Exclude,,Climate data analysis
Web of Science,Horses for courses: analytical tools to explore planetary boundaries,van Vuuren et al.,"van Vuuren, Detlef P.; Lucas, Paul L.; Hayha, Tiina; Cornell, Sarah E.; Stafford-Smith, Mark",EARTH SYSTEM DYNAMICS,2016,7,1,10.5194/esd-7-267-2016,30,Follow Up,,Commentary
Web of Science,Integrating the complexity of global change pressures on land and water,Mueller and Lotze-Campen,"Mueller, Christoph; Lotze-Campen, Hermann",GLOBAL FOOD SECURITY-AGRICULTURE POLICY ECONOMICS AND ENVIRONMENT,2012,1,2,10.1016/j.gfs.2012.11.001,31,Exclude,,
Web of Science,Collateral transgression of planetary boundaries due to climate engineering by terrestrial carbon dioxide removal,Heck et al.,"Heck, Vera; Donges, Jonathan F.; Lucht, Wolfgang",EARTH SYSTEM DYNAMICS,2016,7,4,10.5194/esd-7-783-2016,32,Follow Up,,Coupling example
Web of Science,Regional climate change scenarios in the Brazilian Pantanal watershed,Marengo et al.,"Marengo, Jose A.; Alves, Lincoln M.; Torres, Roger R.",CLIMATE RESEARCH,2016,68,3-Feb,10.3354/cr01324,33,Exclude,,
Web of Science,"Studying the Logone floodplain, Cameroon, as a coupled human and natural system",Moritz et al.,"Moritz, M.; Laborde, S.; Phang, S. C.; Ahmadou, M.; Durand, M.; Fernandez, A.; Hamilton, I. M.; Kari, S.; Mark, B.; Scholte, P.; Xiao, N.; Ziebe, R.",AFRICAN JOURNAL OF AQUATIC SCIENCE,2016,41,1,10.2989/16085914.2016.1143799,34,Exclude,,
Web of Science,Sustainable use of renewable resources in a stylized social-ecological network model under heterogeneous resource distribution,Barfuss et al.,"Barfuss, Wolfram; Donges, Jonathan F.; Wiedermann, Marc; Lucht, Wolfgang",EARTH SYSTEM DYNAMICS,2017,8,2,10.5194/esd-8-255-2017,35,Exclude,,
Web of Science,Grand Challenges in Understanding the Interplay of Climate and Land Changes,Liu et al.,"Liu, Shuguang; Bond-Lamberty, Ben; Boysen, Lena R.; Ford, James D.; Fox, Andrew; Gallo, Kevin; Hatfield, Jerry; Henebry, Geoffrey M.; Huntington, Thomas G.; Liu, Zhihua; Loveland, Thomas R.; Norby, Richard J.; Sohl, Terry; Steiner, Allison L.; Yuan, Wenping; Zhang, Zhao; Zhao, Shuqing",EARTH INTERACTIONS,2017,21,NA,10.1175/EI-D-16-0012.1,36,Exclude,,
Web of Science,Climate change under aggressive mitigation: the ENSEMBLES multi-model experiment,Johns et al.,"Johns, T. C.; Royer, J. -F.; Hoeschel, I.; Huebener, H.; Roeckner, E.; Manzini, E.; May, W.; Dufresne, J. -L.; Ottera, O. H.; van Vuuren, D. P.; Salas y Melia, D.; Giorgetta, M. A.; Denvil, S.; Yang, S.; Fogli, P. G.; Koerper, J.; Tjiputra, J. F.; Stehfest, E.; Hewitt, C. D.",CLIMATE DYNAMICS,2011,37,10-Sep,10.1007/s00382-011-1005-5,37,Follow Up,,Commentary
Web of Science,Allowable carbon emissions lowered by multiple climate targets,Steinacher et al.,"Steinacher, Marco; Joos, Fortunat; Stocker, Thomas F.",NATURE,2013,499,7457,10.1038/nature12269,38,Exclude,,
Web of Science,A framework for modeling uncertainty in regional climate change,Monier et al.,"Monier, Erwan; Gao, Xiang; Scott, Jeffery R.; Sokolov, Andrei P.; Schlosser, C. Adam",CLIMATIC CHANGE,2015,131,1,10.1007/s10584-014-1112-5,39,Include,Regional-USA,Integrated Model
Web of Science,Reversibility in an Earth System model in response to CO2 concentration changes,Boucher et al.,"Boucher, O.; Halloran, P. R.; Burke, E. J.; Doutriaux-Boucher, M.; Jones, C. D.; Lowe, J.; Ringer, M. A.; Robertson, E.; Wu, P.",ENVIRONMENTAL RESEARCH LETTERS,2012,7,2,10.1088/1748-9326/7/2/024013,40,Exclude,,
Identified as critical by BBL & KVC,A comprehensive view on climate change: coupling of earth system and integrated assessment models,van Vuuren et al.,"van Vuuren, Detlef P.; Bayer, Laura Batlle; Chuwah, Clifford; Ganzeveld, Laurens; Hazeleger, Wilco; van den Hurk, Bart; van Noije, Twan; O'Neill, Brian; Strengers, Bart J.",ENVIRONMENTAL RESEARCH LETTERS,2012,7,2,10.1088/1748-9326/7/2/024012,41,Follow Up,Global,Review
Web of Science,An integrated assessment modeling framework for uncertainty studies in global and regional climate change: the MIT IGSM-CAM (version 1.0),Monier et al.,"Monier, E.; Scott, J. R.; Sokolov, A. P.; Forest, C. E.; Schlosser, C. A.",GEOSCIENTIFIC MODEL DEVELOPMENT,2013,6,6,10.5194/gmd-6-2063-2013,42,Include,Global,Integrated Model
Web of Science,From land use to land cover: restoring the afforestation signal in a coupled integrated assessment-earth system model and the implications for CMIP5 RCP simulations,Di Vittorio et al.,"Di Vittorio, A. V.; Chini, L. P.; Bond-Lamberty, B.; Mao, J.; Shi, X.; Truesdale, J.; Craig, A.; Calvin, K.; Jones, A.; Collins, W. D.; Edmonds, J.; Hurtt, G. C.; Thornton, P.; Thomson, A.",BIOGEOSCIENCES,2014,11,22,10.5194/bg-11-6435-2014,43,Follow Up,Global,Linking tool
Web of Science,21st century United States emissions mitigation could increase water stress more than the climate change it is mitigating,Hejazi et al.,"Hejazi, Mohamad I.; Voisin, Nathalie; Liu, Lu; Bramer, Lisa M.; Fortin, Daniel C.; Hathaway, John E.; Huang, Maoyi; Kyle, Page; Leung, L. Ruby; Li, Hong-Yi; Liu, Ying; Patel, Pralit L.; Pulsipher, Trenton C.; Rice, Jennie S.; Tesfa, Teklu K.; Vernon, Chris R.; Zhou, Yuyu",PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2015,112,34,10.1073/pnas.1421675112,44,Include,Regional-USA,Integrated Model
Web of Science,Effects of spatially distributed sectoral water management on the redistribution of water resources in an integrated water model,Voisin et al.,"Voisin, Nathalie; Hejazi, Mohamad I.; Leung, L. Ruby; Liu, Lu; Huang, Maoyi; Li, Hong-Yi; Tesfa, Teklu",WATER RESOURCES RESEARCH,2017,53,5,10.1002/2016WR019767,45,Include,Regional-USA,Integrated Model
Web of Science,Probabilistic projections of 21st century climate change over Northern Eurasia,Monier et al.,"Monier, Erwan; Sokolov, Andrei; Schlosser, Adam; Scott, Jeffery; Gao, Xiang",ENVIRONMENTAL RESEARCH LETTERS,2013,8,4,10.1088/1748-9326/8/4/045008,46,Include,Regional-Eurasia,Integrated Model
Web of Science,Effects of initial conditions uncertainty on regional climate variability: An analysis using a low-resolution CESM ensemble,Sriver et al.,"Sriver, Ryan L.; Forest, Chris E.; Keller, Klaus",GEOPHYSICAL RESEARCH LETTERS,2015,42,13,10.1002/2015GL064546,47,Exclude,,
Web of Science,Downscaling global land cover projections from an integrated assessment model for use in regional analyses: results and evaluation for the US from 2005 to 2095,West et al.,"West, Tristram O.; Le Page, Yannick; Huang, Maoyi; Wolf, Julie; Thomson, Allison M.",ENVIRONMENTAL RESEARCH LETTERS,2014,9,6,10.1088/1748-9326/9/6/064004,48,Follow Up,,Linking tool
Web of Science,Accounting for radiative forcing from albedo change in future global land-use scenarios,Jones et al.,"Jones, Andrew D.; Calvin, Katherine V.; Collins, William D.; Edmonds, James",CLIMATIC CHANGE,2015,131,4,10.1007/s10584-015-1411-5,49,Exclude,,
Web of Science,Modeling stream temperature in the Anthropocene: An earth system modeling approach,Li et al.,"Li, Hong-Yi; Leung, L. Ruby; Tesfa, Teklu; Voisin, Nathalie; Hejazi, Mohamad; Liu, Lu; Liu, Ying; Rice, Jennie; Wu, Huan; Yang, Xiaofan",JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS,2015,7,4,10.1002/2015MS000471,50,Exclude,,
Identified as critical by BBL & KVC,Rolling the 'DICE': An optimal transition path for controlling greenhouse gases,Nordhaus,"Nordhaus, William",Resource and Energy Economics,1993,15,,10.1016/0928-7655(93)90017-O,51,Include,Global,Integrated Model
