temp,year,var,model,scenario,ens,yrs,regrid
287.5766907,2006,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
287.6820374,2007,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
287.6548767,2008,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
287.7279358,2009,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
287.8427734,2010,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
287.7660217,2011,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
287.9668274,2012,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
287.8860168,2013,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
287.9658813,2014,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
287.9116821,2015,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0798645,2016,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0140991,2017,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.076416,2018,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.1193848,2019,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0719604,2020,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0031128,2021,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0325317,2022,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.2235718,2023,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0463867,2024,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0930176,2025,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.2829895,2026,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.186676,2027,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.2214355,2028,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.1265564,2029,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.0964355,2030,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.3201599,2031,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.4284058,2032,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.4414978,2033,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.4676514,2034,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.4544678,2035,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.4913025,2036,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.4505005,2037,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
288.4854126,2038,tas,ACCESS1-0,rcp45,r1i1p1,2006-2100,r360x180.nc
