"temp","year","var","model","scenario","ens","yrs","regrid"
287.497833251953,2006,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.617767333984,2007,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.62890625,2008,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.675872802734,2009,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.531921386719,2010,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.681396484375,2011,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.695281982422,2012,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.763488769531,2013,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.845001220703,2014,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.818695068359,2015,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.809936523438,2016,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.935882568359,2017,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.839050292969,2018,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
287.916198730469,2019,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.017242431641,2020,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.056854248047,2021,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.11181640625,2022,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.292602539062,2023,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.201599121094,2024,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.241790771484,2025,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.368255615234,2026,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.428344726562,2027,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.428009033203,2028,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.620697021484,2029,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.423248291016,2030,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.405120849609,2031,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.406616210938,2032,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.402282714844,2033,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.474761962891,2034,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.618713378906,2035,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.451599121094,2036,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.601959228516,2037,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.574523925781,2038,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.633758544922,2039,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.792510986328,2040,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.878875732422,2041,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.850006103516,2042,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.894989013672,2043,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.821594238281,2044,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
288.975036621094,2045,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.154083251953,2046,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.318908691406,2047,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.365386962891,2048,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.180603027344,2049,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.302551269531,2050,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.272766113281,2051,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.450378417969,2052,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.624328613281,2053,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.630676269531,2054,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.539245605469,2055,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.664398193359,2056,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.701110839844,2057,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.693481445312,2058,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.65478515625,2059,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.725341796875,2060,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.937225341797,2061,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.870910644531,2062,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.765747070312,2063,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.871337890625,2064,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
289.972747802734,2065,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.074859619141,2066,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.123962402344,2067,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.118591308594,2068,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.235992431641,2069,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.142547607422,2070,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.270263671875,2071,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.334838867188,2072,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.345489501953,2073,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.401000976562,2074,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.578948974609,2075,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.659088134766,2076,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.491302490234,2077,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.544677734375,2078,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.908935546875,2079,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.882598876953,2080,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.851287841797,2081,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.788299560547,2082,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.778045654297,2083,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
290.9443359375,2084,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
291.113647460938,2085,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
291.165557861328,2086,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
291.245910644531,2087,"tas","ACCESS1-0","rcp85","r1i1p1","2006-2100","r360x180.nc"
